dt,gyro_z,v_meas,v_sigma,a_lat,mask_gnss,e_gnss,n_gnss
0.1000,0.005811,-1.0000,2.4007,0.1786,1,584.647,-1409.482
0.1000,0.007059,-1.0000,2.4007,1.9912,1,584.647,-1409.482
0.1000,0.005087,-1.0000,2.4007,0.4044,1,584.647,-1409.482
0.1000,0.004791,-1.0000,2.4007,2.3303,1,584.647,-1409.482
0.1000,0.005781,-1.0000,2.4007,1.2131,1,584.647,-1409.482
0.1000,0.004101,-1.0000,2.4007,0.1203,1,584.647,-1409.482
0.1000,0.004812,13.9239,1.9516,-0.6037,1,584.647,-1409.482
0.1000,0.004259,-1.0000,1.9516,-0.7080,1,584.647,-1409.482
0.1000,0.004593,-1.0000,1.9516,0.4609,1,584.647,-1409.482
0.1000,0.005760,-1.0000,1.9516,0.4410,1,584.647,-1409.482
0.1000,0.006261,-1.0000,1.9516,-0.2379,1,584.647,-1409.482
0.1000,0.004480,-1.0000,1.9516,0.1977,1,584.647,-1409.482
0.1000,0.004337,-1.0000,1.9516,1.7520,1,584.647,-1409.482
0.1000,0.005372,-1.0000,1.9516,-0.5175,1,584.647,-1409.482
0.1000,0.005523,-1.0000,1.9516,-1.4968,1,584.647,-1409.482
0.1000,0.006174,-1.0000,1.9516,-1.0067,1,584.647,-1409.482
0.1000,0.006111,13.8477,1.9804,1.4874,1,584.647,-1409.482
0.1000,0.005458,-1.0000,1.9804,2.1683,1,584.647,-1409.482
0.1000,0.004613,-1.0000,1.9804,-1.3498,1,584.647,-1409.482
0.1000,0.005276,-1.0000,1.9804,-3.0788,1,584.647,-1409.482
0.1000,0.005762,-1.0000,1.9804,-0.4320,1,584.647,-1409.482
0.1000,0.007888,-1.0000,1.9804,0.5274,1,584.647,-1409.482
0.1000,0.004163,-1.0000,1.9804,0.1829,1,584.647,-1409.482
0.1000,0.004574,-1.0000,1.9804,-0.3143,1,584.647,-1409.482
0.1000,0.006239,-1.0000,1.9804,0.8080,1,584.647,-1409.482
0.1000,0.006754,-1.0000,1.9804,0.7893,1,584.647,-1409.482
0.1000,0.005748,13.7021,2.0729,1.3987,1,584.647,-1409.482
0.1000,0.007011,-1.0000,2.0729,0.7479,1,584.647,-1409.482
0.1000,0.005769,-1.0000,2.0729,-2.4238,1,584.647,-1409.482
0.1000,0.005864,-1.0000,2.0729,-0.2917,1,584.647,-1409.482
0.1000,0.005137,-1.0000,2.0729,-1.5367,1,584.647,-1409.482
0.1000,0.003748,-1.0000,2.0729,1.0662,1,584.647,-1409.482
0.1000,0.006257,-1.0000,2.0729,-0.4169,1,584.647,-1409.482
0.1000,0.005969,-1.0000,2.0729,-0.3288,1,584.647,-1409.482
0.1000,0.005215,-1.0000,2.0729,0.1646,1,584.647,-1409.482
0.1000,0.005964,-1.0000,2.0729,-0.0903,1,584.647,-1409.482
0.1000,0.007605,13.0377,1.7530,0.6292,1,584.647,-1409.482
0.1000,0.006099,-1.0000,1.7530,-0.7610,1,584.647,-1409.482
0.1000,0.006818,-1.0000,1.7530,-0.7879,1,584.647,-1409.482
0.1000,0.005614,-1.0000,1.7530,-3.3485,1,584.647,-1409.482
0.1000,0.005144,-1.0000,1.7530,-1.1572,1,584.647,-1409.482
0.1000,0.005351,-1.0000,1.7530,-0.1162,1,584.647,-1409.482
0.1000,0.006057,-1.0000,1.7530,0.3711,1,584.647,-1409.482
0.1000,0.005032,-1.0000,1.7530,-1.0705,1,584.647,-1409.482
0.1000,0.004852,-1.0000,1.7530,0.4553,1,584.647,-1409.482
0.1000,0.004813,-1.0000,1.7530,1.8782,1,584.647,-1409.482
0.1000,0.006753,17.0161,2.2357,1.7993,1,584.647,-1409.482
0.1000,0.005227,-1.0000,2.2357,0.5362,1,584.647,-1409.482
0.1000,0.005368,-1.0000,2.2357,-0.1287,1,584.647,-1409.482
0.1000,0.006247,-1.0000,2.2357,-0.4814,1,584.647,-1409.482
0.1000,0.005004,-1.0000,2.2357,-0.7152,1,584.647,-1409.482
0.1000,0.005288,-1.0000,2.2357,0.6870,1,584.647,-1409.482
0.1000,0.006002,-1.0000,2.2357,-0.7878,1,584.647,-1409.482
0.1000,0.006027,-1.0000,2.2357,-0.8523,1,584.647,-1409.482
0.1000,0.007401,-1.0000,2.2357,0.3325,1,584.647,-1409.482
0.1000,0.004276,-1.0000,2.2357,-1.6558,1,584.647,-1409.482
0.1000,0.005571,17.5723,2.4261,-0.0023,1,584.647,-1409.482
0.1000,0.005779,-1.0000,2.4261,0.2572,1,584.647,-1409.482
0.1000,0.004251,-1.0000,2.4261,-0.1442,1,584.647,-1409.482
0.1000,0.005536,-1.0000,2.4261,-1.3531,1,584.647,-1409.482
0.1000,0.004365,-1.0000,2.4261,0.0130,1,584.647,-1409.482
0.1000,0.004488,-1.0000,2.4261,1.7193,1,584.647,-1409.482
0.1000,0.006169,-1.0000,2.4261,-0.4826,1,584.647,-1409.482
0.1000,0.008003,-1.0000,2.4261,-2.0217,1,584.647,-1409.482
0.1000,0.002879,-1.0000,2.4261,0.0302,1,584.647,-1409.482
0.1000,0.004704,-1.0000,2.4261,0.5883,1,584.647,-1409.482
0.1000,0.006963,17.1311,2.2092,-1.3587,1,584.647,-1409.482
0.1000,0.004636,-1.0000,2.2092,0.8614,1,584.647,-1409.482
0.1000,0.005666,-1.0000,2.2092,-0.5799,1,584.647,-1409.482
0.1000,0.006002,-1.0000,2.2092,0.9000,1,584.647,-1409.482
0.1000,0.005573,-1.0000,2.2092,-0.5827,1,584.647,-1409.482
0.1000,0.006150,-1.0000,2.2092,-1.5683,1,584.647,-1409.482
0.1000,0.006366,-1.0000,2.2092,-0.5006,1,584.647,-1409.482
0.1000,0.005050,-1.0000,2.2092,0.2547,1,584.647,-1409.482
0.1000,0.004982,-1.0000,2.2092,-0.2227,1,584.647,-1409.482
0.1000,0.005761,-1.0000,2.2092,-0.1646,1,584.647,-1409.482
0.1000,0.004899,13.5856,1.7525,-1.0559,1,584.647,-1409.482
0.1000,0.005667,-1.0000,1.7525,0.7416,1,584.647,-1409.482
0.1000,0.005701,-1.0000,1.7525,1.2182,1,584.647,-1409.482
0.1000,0.004754,-1.0000,1.7525,-1.1128,1,584.647,-1409.482
0.1000,0.004121,-1.0000,1.7525,-0.0294,1,584.647,-1409.482
0.1000,0.004988,-1.0000,1.7525,-0.1426,1,584.647,-1409.482
0.1000,0.004728,-1.0000,1.7525,-1.1891,1,584.647,-1409.482
0.1000,0.006283,-1.0000,1.7525,0.1448,1,584.647,-1409.482
0.1000,0.005427,-1.0000,1.7525,-0.4376,1,584.647,-1409.482
0.1000,0.004736,-1.0000,1.7525,1.8454,1,584.647,-1409.482
0.1000,0.006027,14.0490,1.9936,1.3558,1,584.647,-1409.482
0.1000,0.004476,-1.0000,1.9936,0.5521,1,584.647,-1409.482
0.1000,0.005618,-1.0000,1.9936,-0.8051,1,584.647,-1409.482
0.1000,0.005209,-1.0000,1.9936,1.7059,1,584.647,-1409.482
0.1000,0.006909,-1.0000,1.9936,2.0435,1,584.647,-1409.482
0.1000,0.003939,-1.0000,1.9936,-0.7753,1,584.647,-1409.482
0.1000,0.003305,-1.0000,1.9936,-0.1639,1,584.647,-1409.482
0.1000,0.004716,-1.0000,1.9936,0.8429,1,584.647,-1409.482
0.1000,0.005200,-1.0000,1.9936,0.3767,1,584.647,-1409.482
0.1000,0.007704,-1.0000,1.9936,0.4507,1,584.647,-1409.482
0.1000,0.005985,16.0872,2.2087,-0.7402,1,584.647,-1409.482
0.1000,0.005230,-1.0000,2.2087,-0.1813,1,584.647,-1409.482
0.1000,0.005798,-1.0000,2.2087,1.0596,1,584.647,-1409.482
0.1000,0.004673,-1.0000,2.2087,1.1741,1,584.647,-1409.482
0.1000,0.005020,-1.0000,2.2087,-0.3760,1,584.647,-1409.482
0.1000,0.004516,-1.0000,2.2087,2.7741,1,584.647,-1409.482
0.1000,0.006823,-1.0000,2.2087,-2.3572,1,584.647,-1409.482
0.1000,0.005243,-1.0000,2.2087,1.6632,1,584.647,-1409.482
0.1000,0.005482,-1.0000,2.2087,-0.1792,1,584.647,-1409.482
0.1000,0.004831,-1.0000,2.2087,0.2562,1,584.647,-1409.482
0.1000,0.005100,18.1794,2.5087,0.1423,1,584.647,-1409.482
0.1000,0.004306,-1.0000,2.5087,-1.9891,1,584.647,-1409.482
0.1000,0.005425,-1.0000,2.5087,1.5911,1,584.647,-1409.482
0.1000,0.005485,-1.0000,2.5087,2.6126,1,584.647,-1409.482
0.1000,0.006578,-1.0000,2.5087,2.4275,1,584.647,-1409.482
0.1000,0.004902,-1.0000,2.5087,-0.6876,1,584.647,-1409.482
0.1000,0.004146,-1.0000,2.5087,1.1284,1,584.647,-1409.482
0.1000,0.006451,-1.0000,2.5087,1.4962,1,584.647,-1409.482
0.1000,0.005566,-1.0000,2.5087,-3.1196,1,584.647,-1409.482
0.1000,0.004534,-1.0000,2.5087,-0.3679,1,584.647,-1409.482
0.1000,0.005498,19.4684,2.8672,0.4938,1,584.647,-1409.482
0.1000,0.004187,-1.0000,2.8672,1.1372,1,584.647,-1409.482
